RecordID,ProgramStudi,Gender,DeviceUtama,ModaBelajar,Kepuasan,IntensitasBelajar,DurasiBelajarJam,PaketID
781890,Matematika,P,Tablet,Diskusi,Puas,Tinggi,10.7,ADK1-07018231
532951,Matematika,P,Tablet,Buku,Tidak Puas,Rendah,8.1,ADK1-07018231
983481,Matematika,L,Tablet,Diskusi,Puas,Sedang,6.8,ADK1-07018231
721986,Sistem Informasi,L,Smartphone,Video,Cukup,Rendah,3.4,ADK1-07018231
567168,Sains Aktuaria,L,Tablet,Video,Tidak Puas,Rendah,3.3,ADK1-07018231
799059,Sains Aktuaria,P,Laptop,Buku,Cukup,Tinggi,10,ADK1-07018231
660151,Sistem Informasi,P,Tablet,Buku,Tidak Puas,Sedang,8.9,ADK1-07018231
193401,Matematika,P,Tablet,Praktik,Puas,Tinggi,9.2,ADK1-07018231
289100,Sains Aktuaria,P,Laptop,Diskusi,Cukup,Tinggi,11.3,ADK1-07018231
960313,Matematika,L,Laptop,Diskusi,Cukup,Rendah,3.8,ADK1-07018231
581496,Sistem Informasi,L,Tablet,Diskusi,Cukup,Rendah,5,ADK1-07018231
197089,Sains Data,L,Laptop,Diskusi,Puas,Sedang,4.8,ADK1-07018231
127804,Sistem Informasi,P,Smartphone,Video,Puas,,2.4,ADK1-07018231
351092,Matematika,P,Smartphone,Buku,Sangat Puas,Sedang,6.4,ADK1-07018231
105271,Sains Data,P,Tablet,Buku,Cukup,Rendah,7.4,ADK1-07018231
178087,Matematika,L,Tablet,Buku,Tidak Puas,Tinggi,8.5,ADK1-07018231
501602,Sains Aktuaria,P,Tablet,Praktik,Cukup,Sedang,5.4,ADK1-07018231
591312,Sistem Informasi,P,Tablet,Buku,Puas,Tinggi,10.5,ADK1-07018231
968505,Sains Aktuaria,L,Smartphone,Buku,Tidak Puas,Rendah,7.2,ADK1-07018231
602497,Matematika,P,Tablet,Diskusi,Puas,Sedang,8.1,ADK1-07018231
667686,Sistem Informasi,L,Tablet,Praktik,Puas,Tinggi,11.7,ADK1-07018231
661608,Matematika,P,Tablet,Buku,Tidak Puas,Tinggi,10.1,ADK1-07018231
565007,Sistem Informasi,L,Tablet,Buku,Cukup,Rendah,5.3,ADK1-07018231
358473,Sains Data,P,Laptop,Praktik,Cukup,Sedang,11.7,ADK1-07018231
593375,Sistem Informasi,L,Tablet,Praktik,Sangat Puas,Sedang,7.4,ADK1-07018231
119944,Matematika,L,Laptop,Diskusi,Sangat Puas,Rendah,4.6,ADK1-07018231
762209,Sains Data,L,Smartphone,Praktik,Puas,Sedang,4.1,ADK1-07018231
308499,Matematika,L,Laptop,Buku,Sangat Puas,Rendah,3.2,ADK1-07018231
797465,Sistem Informasi,P,Tablet,Diskusi,Puas,Tinggi,9.8,ADK1-07018231
459547,Sains Aktuaria,P,,Diskusi,Puas,Sedang,6.5,ADK1-07018231
950761,Matematika,L,Tablet,Video,Cukup,Sedang,6.7,ADK1-07018231
227023,Sistem Informasi,P,Laptop,Buku,Tidak Puas,Rendah,4.1,ADK1-07018231
472928,Sistem Informasi,L,Tablet,Buku,Sangat Puas,Sedang,8.3,ADK1-07018231
330998,Sains Data,P,Laptop,Praktik,Sangat Puas,Rendah,3.5,ADK1-07018231
924506,Sains Aktuaria,P,Smartphone,Buku,Puas,Rendah,6.4,ADK1-07018231
356830,Matematika,L,Smartphone,Buku,Sangat Puas,Rendah,3.9,ADK1-07018231
643939,Matematika,L,Tablet,Diskusi,Puas,Sedang,5.8,ADK1-07018231
635469,Sains Data,P,Tablet,Praktik,Puas,Sedang,7,ADK1-07018231
493702,Sains Aktuaria,L,Tablet,Diskusi,Puas,Tinggi,10.8,ADK1-07018231
164598,Matematika,L,Smartphone,Video,,Tinggi,8.7,ADK1-07018231
681902,Sains Data,P,Laptop,Diskusi,Sangat Puas,Tinggi,7.5,ADK1-07018231
905911,Matematika,L,Laptop,Praktik,Cukup,Tinggi,11.1,ADK1-07018231
219638,Sains Data,L,Tablet,Praktik,Cukup,Tinggi,10.9,ADK1-07018231
184897,Sains Data,P,Tablet,Diskusi,Cukup,Sedang,8.9,ADK1-07018231
222762,Matematika,L,Tablet,Buku,Puas,Sedang,10.5,ADK1-07018231
955884,Matematika,P,Tablet,Video,Sangat Puas,Tinggi,10.7,ADK1-07018231
353371,Sains Data,L,Smartphone,Diskusi,Cukup,Tinggi,12.1,ADK1-07018231
874355,Sains Aktuaria,P,Laptop,Diskusi,Sangat Puas,Tinggi,10.9,ADK1-07018231
566593,Sains Data,P,Laptop,Buku,Tidak Puas,Rendah,6.9,ADK1-07018231
860492,Sains Data,L,Laptop,Video,Sangat Puas,Sedang,8.6,ADK1-07018231
240789,Sains Data,P,Tablet,Diskusi,Cukup,Rendah,4.8,ADK1-07018231
255941,Sains Data,P,Laptop,Buku,Sangat Puas,Sedang,8,ADK1-07018231
535155,Sains Data,P,Tablet,Video,Cukup,Rendah,5.3,ADK1-07018231
547558,Sains Data,P,Laptop,Buku,Puas,Tinggi,8.3,ADK1-07018231
453883,Matematika,P,Laptop,Praktik,Sangat Puas,Tinggi,12.8,ADK1-07018231
822081,Sains Data,L,Tablet,Buku,Cukup,Sedang,5.2,ADK1-07018231
968941,Sains Data,L,Laptop,Buku,Sangat Puas,Tinggi,6.6,ADK1-07018231
408777,Matematika,P,Laptop,Diskusi,Tidak Puas,Tinggi,10.7,ADK1-07018231
779687,Sains Aktuaria,L,Tablet,Diskusi,Puas,Sedang,4.9,ADK1-07018231
770518,Sistem Informasi,P,Tablet,Praktik,Tidak Puas,Sedang,7.3,ADK1-07018231
687677,Matematika,P,Tablet,Diskusi,Sangat Puas,Rendah,2.3,ADK1-07018231
689068,Sistem Informasi,P,Tablet,Diskusi,Sangat Puas,Tinggi,11.2,ADK1-07018231
104360,Sistem Informasi,L,Laptop,Diskusi,Sangat Puas,Tinggi,8.9,ADK1-07018231
304322,Matematika,P,Tablet,Praktik,Sangat Puas,Rendah,4.4,ADK1-07018231
682079,Sains Data,P,Smartphone,Video,Cukup,Rendah,5.3,ADK1-07018231
619490,Sains Data,L,Smartphone,Video,Tidak Puas,Rendah,3.3,ADK1-07018231
910742,Sistem Informasi,L,Laptop,Buku,Puas,Sedang,6.8,ADK1-07018231
684966,Sains Data,L,Smartphone,Praktik,Sangat Puas,Rendah,2.4,ADK1-07018231
310317,Sains Aktuaria,P,Tablet,Buku,Cukup,Rendah,5,ADK1-07018231
798320,Matematika,L,Tablet,Buku,Cukup,Rendah,5.3,ADK1-07018231
284497,Sistem Informasi,L,Smartphone,Buku,Cukup,Sedang,9.3,ADK1-07018231
302638,Sains Aktuaria,L,Laptop,Praktik,Sangat Puas,Tinggi,6.8,ADK1-07018231
636470,Sistem Informasi,L,Tablet,Diskusi,Sangat Puas,Rendah,8.2,ADK1-07018231
263175,Matematika,L,Tablet,Diskusi,Puas,Tinggi,9.7,ADK1-07018231
984975,Sains Aktuaria,P,Tablet,Praktik,Cukup,Rendah,2.8,ADK1-07018231
